window_size,lam,networksize,learnrate,seed,sharpe,cumret,meanret,stdret
1,2.0,128,0.005,4.5,1.4344,1.1053000000000002,0.0009000000000000001,0.0091
1,2.0,128,0.01,4.5,1.1333,1.0851,0.0005,0.0091
1,5.0,32,1e-05,4.5,1.6725999999999999,1.0907,0.001,0.0068000000000000005
1,5.0,32,0.0001,4.5,1.6689,1.0906,0.001,0.0068000000000000005
1,5.0,32,0.0005,4.5,1.636,1.0957000000000001,0.001,0.007299999999999999
1,5.0,32,0.001,4.5,1.6715,1.0912,0.001,0.0068000000000000005
1,5.0,32,0.005,4.5,1.5618,1.0988,0.001,0.0077
1,5.0,32,0.01,4.5,1.129,1.0931,0.0007,0.009999999999999998
1,5.0,64,1e-05,4.5,1.6773,1.0909,0.001,0.0068000000000000005
1,5.0,64,0.0001,4.5,1.6839,1.0916000000000001,0.001,0.0068000000000000005
1,5.0,64,0.0005,4.5,1.6895,1.0917,0.001,0.0067
1,5.0,64,0.001,4.5,1.652,1.0907,0.001,0.0067
1,5.0,64,0.005,4.5,1.3229,1.0917999999999999,0.0009000000000000001,0.008400000000000001
1,5.0,64,0.01,4.5,1.1447,1.1086,0.0009000000000000001,0.0114
1,5.0,128,1e-05,4.5,1.6979,1.0916000000000001,0.001,0.0068000000000000005
1,5.0,128,0.0001,4.5,1.6998000000000002,1.0918,0.001,0.0067
1,5.0,128,0.0005,4.5,1.6917000000000002,1.0923,0.001,0.0068000000000000005
1,5.0,128,0.001,4.5,1.6893,1.096,0.001,0.007000000000000001
1,5.0,128,0.005,4.5,1.0076,1.0856999999999999,0.0006000000000000001,0.0103
1,5.0,128,0.01,4.5,1.0537,1.1003,0.0007,0.011
1,10.0,32,1e-05,4.5,1.6722000000000001,1.0904,0.001,0.0068000000000000005
1,10.0,32,0.0001,4.5,1.6661000000000001,1.0904,0.001,0.0068000000000000005
1,10.0,32,0.0005,4.5,1.5352999999999999,1.0854000000000001,0.0009000000000000001,0.006900000000000001
1,10.0,32,0.001,4.5,1.6517,1.09,0.001,0.0067
1,10.0,32,0.005,4.5,1.1671,1.0954000000000002,0.0007,0.0097
1,10.0,32,0.01,4.5,0.9984,1.1004,0.0007,0.011699999999999999
1,10.0,64,1e-05,4.5,1.6764,1.0911,0.001,0.0068000000000000005
1,10.0,64,0.0001,4.5,1.6823000000000001,1.0914,0.001,0.0068000000000000005
1,10.0,64,0.0005,4.5,1.7073,1.0932,0.001,0.0067
1,10.0,64,0.001,4.5,1.5574,1.0878999999999999,0.0009000000000000001,0.007000000000000001
