seed,window_size,lam,networksize,learnrate,sharpe,cumret,meanret,stdret
1,1,0.1,64,0.001,1.745,1.098,0.001,0.007
1,1,0.1,64,0.0005,1.736,1.097,0.001,0.007
1,1,0.1,64,0.0001,1.728,1.096,0.001,0.007
1,1,0.1,64,1e-05,1.732,1.096,0.001,0.007
1,1,0.1,128,0.01,0.778,1.046,0.0,0.007
1,1,0.1,128,0.005,1.645,1.087,0.001,0.006
1,1,0.1,128,0.001,1.69,1.09,0.001,0.006
1,1,0.1,128,0.0005,1.694,1.09,0.001,0.007
1,1,0.1,128,0.0001,1.697,1.09,0.001,0.006
1,1,0.5,32,0.01,1.619,1.087,0.001,0.007
1,1,0.5,32,0.005,1.548,1.081,0.001,0.006
1,1,0.5,32,0.001,1.552,1.082,0.001,0.006
1,1,0.5,32,0.0005,1.546,1.082,0.001,0.006
1,1,0.1,128,1e-05,1.697,1.09,0.001,0.006
1,1,0.5,32,0.0001,1.566,1.083,0.001,0.006
1,1,0.5,32,1e-05,1.598,1.085,0.001,0.006
1,1,0.5,64,0.01,1.564,1.09,0.001,0.007
1,1,0.5,64,0.005,1.715,1.093,0.001,0.007
1,1,0.5,64,0.001,1.743,1.097,0.001,0.007
1,1,0.5,64,0.0005,1.747,1.098,0.001,0.007
1,1,0.5,64,0.0001,1.723,1.096,0.001,0.007
1,1,0.5,64,1e-05,1.741,1.098,0.001,0.007
1,1,0.5,128,0.01,0.158,1.011,0.0,0.009
1,1,0.5,128,0.005,1.244,1.065,0.0,0.006
1,1,0.5,128,0.001,1.698,1.091,0.001,0.007
1,1,0.5,128,0.0005,1.677,1.089,0.001,0.006
1,1,0.5,128,0.0001,1.697,1.09,0.001,0.006
1,1,0.5,128,1e-05,1.694,1.09,0.001,0.006
1,1,1.0,32,0.01,1.531,1.088,0.001,0.007
1,1,1.0,32,0.005,1.563,1.084,0.001,0.007
1,1,1.0,32,0.0005,1.545,1.082,0.001,0.006
1,1,1.0,32,0.001,1.543,1.082,0.001,0.006
1,1,1.0,32,0.0001,1.56,1.083,0.001,0.006
1,1,1.0,32,1e-05,1.575,1.084,0.001,0.007
1,1,1.0,64,0.01,1.408,1.084,0.001,0.007
1,1,1.0,64,0.005,1.633,1.087,0.001,0.006
1,1,1.0,64,0.001,1.733,1.097,0.001,0.007
1,1,1.0,64,0.0005,1.742,1.098,0.001,0.007
1,1,1.0,64,0.0001,1.742,1.098,0.001,0.007
1,1,1.0,64,1e-05,1.74,1.097,0.001,0.007
1,1,1.0,128,0.005,1.716,1.105,0.001,0.007
1,1,1.0,128,0.01,1.393,1.075,0.001,0.007
1,1,1.0,128,0.001,1.683,1.089,0.001,0.006
1,1,1.0,128,0.0005,1.663,1.087,0.001,0.006
1,1,1.0,128,0.0001,1.7,1.09,0.001,0.006
1,1,1.0,128,1e-05,1.694,1.09,0.001,0.006
1,1,2.0,32,0.01,1.441,1.082,0.001,0.007
