date,MSFT,JPM,JNJ,XOM,PG
2023-12-21,0.23019482,0.18852073,0.15507556,0.19031721,0.23589173
2023-12-22,0.23093383,0.18850753,0.15508676,0.19008486,0.23538704
2023-12-26,0.23170967,0.18848871,0.15511118,0.18974838,0.23494212
2023-12-27,0.23240745,0.18844926,0.15512595,0.18955268,0.23446460
2023-12-28,0.23320712,0.18836440,0.15516880,0.18894613,0.23431352
2023-12-29,0.23345760,0.18836808,0.15517518,0.18888839,0.23411080
2024-01-02,0.23327394,0.18867369,0.15504864,0.18991026,0.23309353
2024-01-03,0.23290411,0.18894303,0.15492265,0.19090469,0.23232554
2024-01-04,0.23233633,0.18916860,0.15478699,0.19202794,0.23168005
2024-01-05,0.23174873,0.18961917,0.15459345,0.19349831,0.23054032
2024-01-08,0.23109093,0.19003095,0.15441120,0.19490910,0.22955774
2024-01-09,0.23035684,0.19041219,0.15423232,0.19628270,0.22871593
2024-01-10,0.22958019,0.19077653,0.15407076,0.19753838,0.22803412
2024-01-11,0.22871570,0.19107184,0.15392518,0.19879733,0.22748987
2024-01-12,0.22760750,0.19135648,0.15376739,0.20033565,0.22693300
2024-01-16,0.22661391,0.19153452,0.15365158,0.20151134,0.22668870
2024-01-17,0.22563691,0.19152842,0.15360609,0.20220195,0.22702663
2024-01-18,0.22481474,0.19152309,0.15358317,0.20263113,0.22744791
2024-01-19,0.22426449,0.19153906,0.15359363,0.20270750,0.22789533
2024-01-22,0.22355241,0.19159248,0.15357262,0.20306206,0.22822043
2024-01-23,0.22299059,0.19150242,0.15357423,0.20349050,0.22844219
2024-01-24,0.22291087,0.19129847,0.15365270,0.20329651,0.22884153
2024-01-25,0.22300461,0.19110273,0.15372044,0.20323777,0.22893439
2024-01-26,0.22307432,0.19092982,0.15377399,0.20327413,0.22894783
2024-01-29,0.22340502,0.19071931,0.15386085,0.20297262,0.22904222
2024-01-30,0.22407021,0.19056527,0.15394317,0.20266002,0.22876140
2024-01-31,0.22462779,0.19042824,0.15399520,0.20251809,0.22843072
2024-02-01,0.22512223,0.19027853,0.15403922,0.20255488,0.22800517
