date,MSFT,JPM,JNJ,XOM,PG
2024-05-31,0.21007261,0.19073054,0.20459503,0.18278877,0.21181306
2024-06-03,0.21004325,0.19062521,0.20460567,0.18267885,0.21204707
2024-06-04,0.21003354,0.19061452,0.20459001,0.18264170,0.21212023
2024-06-05,0.21002674,0.19052461,0.20459865,0.18253420,0.21231577
2024-06-06,0.20999324,0.19047891,0.20458345,0.18246041,0.21248397
2024-06-07,0.20998609,0.19048305,0.20456652,0.18243729,0.21252699
2024-06-10,0.21006887,0.19046021,0.20455438,0.18231978,0.21259676
2024-06-11,0.21026404,0.19044000,0.20453486,0.18211329,0.21264783
2024-06-12,0.21043561,0.19039336,0.20453240,0.18192010,0.21271855
2024-06-13,0.21058281,0.19035368,0.20454411,0.18178499,0.21273434
2024-06-14,0.21075019,0.19026993,0.20456687,0.18159647,0.21281655
2024-06-17,0.21087322,0.19020608,0.20459279,0.18147397,0.21285403
2024-06-18,0.21091250,0.19016057,0.20462035,0.18143842,0.21286812
2024-06-20,0.21097319,0.19014876,0.20463882,0.18141700,0.21282217
2024-06-21,0.21105240,0.19009730,0.20467579,0.18136312,0.21281141
2024-06-24,0.21111986,0.19005917,0.20470229,0.18131284,0.21280587
2024-06-25,0.21114177,0.18999209,0.20473920,0.18127301,0.21285395
2024-06-26,0.21111703,0.18996911,0.20476469,0.18130668,0.21284257
2024-06-27,0.21105929,0.19000410,0.20476755,0.18140137,0.21276769
2024-06-28,0.21096623,0.19000721,0.20478489,0.18150242,0.21273924
2024-07-01,0.21081018,0.18999560,0.20482908,0.18168025,0.21268488
2024-07-02,0.21062872,0.19000715,0.20486270,0.18188898,0.21261248
2024-07-03,0.21046029,0.18998565,0.20490953,0.18206754,0.21257703
2024-07-05,0.21036752,0.18995354,0.20494808,0.18216327,0.21256766
2024-07-08,0.21022773,0.18995385,0.20497030,0.18230729,0.21254092
2024-07-09,0.21013172,0.18994509,0.20499367,0.18241230,0.21251729
2024-07-10,0.21011652,0.18998113,0.20500493,0.18250106,0.21239637
2024-07-11,0.21008956,0.18999793,0.20501693,0.18256991,0.21232560
2024-07-12,0.21014631,0.19000956,0.20501755,0.18254866,0.21227786
2024-07-15,0.21015115,0.19002658,0.20502594,0.18258718,0.21220921
2024-07-16,0.21022569,0.19011079,0.20498703,0.18257821,0.21209832
2024-07-17,0.21039911,0.19021249,0.20493795,0.18250215,0.21194828
2024-07-18,0.21061040,0.19025461,0.20489530,0.18232384,0.21191578
2024-07-19,0.21075444,0.19030239,0.20485012,0.18219727,0.21189582
2024-07-22,0.21088862,0.19033363,0.20482141,0.18208548,0.21187077
2024-07-23,0.21098274,0.19033161,0.20480540,0.18197711,0.21190315
2024-07-24,0.21112974,0.19032560,0.20476617,0.18177564,0.21200292
2024-07-25,0.21131371,0.19032495,0.20472954,0.18155983,0.21207203
2024-07-26,0.21046899,0.19145006,0.20355254,0.18331471,0.21121366
2024-07-29,0.20927557,0.19302703,0.20186685,0.18578778,0.21004276
2024-07-30,0.20793946,0.19449937,0.20022054,0.18837100,0.20896958
2024-07-31,0.20718624,0.19513398,0.19939597,0.18963608,0.20864771
2024-08-01,0.20617694,0.19625929,0.19811036,0.19159068,0.20786272
2024-08-02,0.20460123,0.19816251,0.19596513,0.19478124,0.20648980
2024-08-05,0.20279135,0.20024358,0.19355826,0.19834234,0.20506451
2024-08-06,0.20124866,0.20204560,0.19150181,0.20140108,0.20380285
2024-08-07,0.20032258,0.20312609,0.19024663,0.20321739,0.20308737
2024-08-08,0.19991446,0.20365538,0.18963709,0.20403612,0.20275699
2024-08-09,0.19945186,0.20417444,0.18900315,0.20490247,0.20246814
2024-08-12,0.19889784,0.20469272,0.18834585,0.20589229,0.20217137
2024-08-13,0.19882134,0.20486574,0.18812259,0.20604573,0.20214464
2024-08-14,0.19871792,0.20514807,0.18783943,0.20635146,0.20194319
2024-08-15,0.19904211,0.20479248,0.18823840,0.20568030,0.20224679
2024-08-16,0.20000179,0.20360669,0.18957360,0.20364624,0.20317167
